EDGES
ID, X, Y
335, 470735.34, 469794.24
336, 470534.98, 469794.24
337, 479107.75, 469794.24
338, 479350.95, 469794.24
339, 467116.98, 469794.24
340, 467630.37, 469794.24
341, 465198.97, 469794.24
342, 467310.48, 469794.24
343, 465200.1, 469794.24
344, 465236.77, 469794.24
345, 466850.81, 469794.24
346, 466601.93, 469794.24
347, 466327.22, 469794.24
348, 467353.6, 469794.24
349, 467277.38, 469794.24
350, 467377.16, 469794.24
351, 466770.51, 469794.24
352, 466888.65, 469794.24
353, 467399.58, 469794.24
354, 468006.12, 469794.24
355, 467164.83, 469794.24
356, 467230.64, 469794.24
357, 468130.92, 469794.24
358, 467589.91, 469794.24
359, 467732.0, 469794.24
360, 467650.4, 469794.24
361, 467743.07, 469794.24
362, 467721.83, 469794.24
363, 468345.78, 469794.24
364, 468206.18, 469794.24
365, 467932.39, 469794.24
366, 468044.67, 469794.24
367, 467860.6, 469794.24
368, 467911.07, 469794.24
369, 467689.78, 469794.24
370, 467846.09, 469794.24
371, 468231.83, 469794.24
372, 467839.25, 469794.24
373, 468314.57, 469794.24
374, 467883.67, 469794.24
375, 467971.51, 469794.24
376, 467941.07, 469794.24
377, 467914.41, 469794.24
378, 468419.41, 469794.24
379, 468015.14, 469794.24
380, 468126.76, 469794.24
381, 468231.33, 469794.24
382, 468386.82, 469794.24
383, 468226.99, 469794.24
384, 468527.8, 469794.24
385, 468355.48, 469794.24
386, 468406.9, 469794.24
387, 468237.72, 469794.24
388, 468668.81, 469794.24
389, 468535.69, 469794.24
390, 468717.62, 469794.24
391, 468340.8, 469794.24
392, 468244.8, 469794.24
393, 468331.65, 469794.24
394, 468643.14, 469794.24
395, 468611.28, 469794.24
396, 468671.78, 469794.24
397, 468595.75, 469794.24
398, 468573.75, 469794.24
399, 468596.54, 469794.24
400, 468900.63, 469794.24
401, 468583.13, 469794.24
402, 470935.69, 469794.24
403, 470973.69, 469794.24
404, 470134.19, 469794.24
405, 469877.49, 469794.24
406, 468767.98, 469794.24
407, 468997.31, 469794.24
408, 468678.17, 469794.24
409, 468713.23, 469794.24
410, 468630.5, 469794.24
411, 468692.07, 469794.24
412, 468874.52, 469794.24
413, 468796.23, 469794.24
414, 468967.71, 469794.24
415, 468733.71, 469794.24
416, 468737.1, 469794.24
417, 468856.27, 469794.24
418, 468749.77, 469794.24
419, 468793.3, 469794.24
420, 468780.09, 469794.24
421, 468774.83, 469794.24
422, 469096.3, 469794.24
423, 469233.88, 469794.24
424, 468989.39, 469794.24
425, 469007.3, 469794.24
426, 468926.74, 469794.24
427, 468899.96, 469794.24
428, 468976.05, 469794.24
429, 469164.21, 469794.24
430, 469239.52, 469794.24
431, 469074.35, 469794.24
432, 469290.12, 469794.24
433, 469065.68, 469794.24
434, 469225.74, 469794.24
435, 469703.95, 469794.24
436, 469221.53, 469794.24
437, 469280.5, 469794.24
438, 469162.13, 469794.24
439, 469218.87, 469794.24
440, 469597.04, 469794.24
441, 469410.05, 469794.24
442, 469291.85, 469794.24
443, 470452.27, 469794.24
444, 470538.51, 469794.24
445, 470647.2, 469794.24
446, 470600.95, 469794.24
447, 470419.11, 469794.24
448, 470430.73, 469794.24
449, 470154.12, 469794.24
450, 470358.73, 469794.24
451, 470061.46, 469794.24
452, 470116.54, 469794.24
453, 470023.23, 469794.24
454, 470106.87, 469794.24
455, 470223.4, 469794.24
456, 470134.25, 469794.24
457, 470495.19, 469794.24
458, 470563.9, 469794.24
459, 470363.16, 469794.24
460, 470468.88, 469794.24
461, 470155.44, 469794.24
462, 470386.09, 469794.24
463, 470650.11, 469794.24
464, 470447.3, 469794.24
465, 470645.63, 469794.24
466, 470448.84, 469794.24
467, 470420.77, 469794.24
468, 470473.23, 469794.24
469, 470425.21, 469794.24
470, 470508.6, 469794.24
471, 470467.7, 469794.24
472, 470546.45, 469794.24
473, 470457.39, 469794.24
474, 470683.13, 469794.24
475, 470699.14, 469794.24
476, 470580.89, 469794.24
477, 470526.04, 469794.24
478, 470814.3, 469794.24
479, 470711.53, 469794.24
480, 471024.42, 469794.24
481, 470874.8, 469794.24
482, 470637.28, 469794.24
483, 470684.49, 469794.24
484, 470618.46, 469794.24
485, 470828.47, 469794.24
486, 470876.16, 469794.24
487, 470839.24, 469794.24
488, 470833.77, 469794.24
489, 470695.82, 469794.24
490, 470696.75, 469794.24
491, 470760.1, 469794.24
492, 470855.6, 469794.24
493, 470704.61, 469794.24
494, 470907.85, 469794.24
495, 470869.15, 469794.24
496, 470969.38, 469794.24
497, 471010.57, 469794.24
498, 471002.65, 469794.24
499, 470713.57, 469794.24
500, 470854.32, 469794.24
501, 470872.48, 469794.24
502, 470803.32, 469794.24
503, 470859.92, 469794.24
504, 470861.73, 469794.24
505, 471079.32, 469794.24
506, 470985.59, 469794.24
507, 470892.93, 469794.24
508, 471022.04, 469794.24
509, 470901.47, 469794.24
510, 471960.54, 469794.24
511, 472022.22, 469794.24
512, 471309.87, 469794.24
513, 471309.99, 469794.24
514, 471112.31, 469794.24
515, 471214.44, 469794.24
516, 471010.01, 469794.24
517, 470990.08, 469794.24
518, 471016.02, 469794.24
519, 471044.96, 469794.24
520, 471067.19, 469794.24
521, 471185.73, 469794.24
522, 471216.34, 469794.24
523, 471023.99, 469794.24
524, 471123.16, 469794.24
525, 471040.62, 469794.24
526, 471097.22, 469794.24
527, 471226.1, 469794.24
528, 471346.53, 469794.24
529, 471331.92, 469794.24
530, 471223.0, 469794.24
531, 471310.61, 469794.24
532, 471246.54, 469794.24
533, 471202.75, 469794.24
